dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000333,0.033333,1.666667,83.333333,0.000000
0.020000,0.000000,0.000000,0.001667,0.100000,3.333333,83.333333,0.000000
0.020000,0.000000,0.000000,0.004667,0.200000,5.000000,83.333333,0.000000
0.020000,0.000000,0.000000,0.009667,0.300000,5.000000,-0.000000,0.000000
0.020000,0.000000,0.000000,0.016667,0.400000,5.000000,0.000000,0.000000
0.020000,0.000000,0.000000,0.025667,0.500000,5.000000,-0.000000,0.000000
0.020000,0.000000,0.000000,0.036667,0.600000,5.000000,0.000000,0.000000
0.020000,0.000000,0.000000,0.049667,0.700000,5.000000,-0.000000,0.000000
0.020000,0.004667,0.000000,0.064667,0.800000,5.000000,0.000000,0.000000
0.020000,0.021667,0.000000,0.081667,0.900000,5.000000,0.000000,0.000000
0.020000,0.040667,0.000000,0.100667,1.000000,5.000000,-0.000000,0.000000
0.020000,0.061667,0.000000,0.121667,1.100000,5.000000,0.000000,0.000000
0.020000,0.084667,0.000000,0.144667,1.200000,5.000000,-0.000000,0.000000
0.020000,0.109667,0.000000,0.169667,1.300000,5.000000,0.000000,0.000000
0.020000,0.136667,0.000000,0.196667,1.400000,5.000000,-0.000000,0.000000
0.020000,0.165667,0.000000,0.225667,1.500000,5.000000,0.000000,0.000000
0.020000,0.196667,0.000000,0.256667,1.600000,5.000000,0.000000,0.000000
0.020000,0.229667,0.000000,0.289667,1.700000,5.000000,0.000000,0.000000
0.020000,0.264667,0.000000,0.324667,1.800000,5.000000,0.000000,0.000000
0.020000,0.301667,0.000000,0.361667,1.900000,5.000000,-0.000000,0.000000
0.020000,0.340667,0.000000,0.400667,2.000000,5.000000,0.000000,0.000000
0.020000,0.381667,0.000000,0.441667,2.100000,5.000000,0.000000,0.000000
0.020000,0.424667,0.000000,0.484667,2.200000,5.000000,-0.000000,0.000000
0.020000,0.469667,0.000000,0.529667,2.300000,5.000000,-0.000000,0.000000
0.020000,0.516667,0.000000,0.576667,2.400000,5.000000,0.000000,0.000000
0.020000,0.565667,0.000000,0.625667,2.500000,5.000000,0.000000,0.000000
0.020000,0.616667,0.000000,0.676667,2.600000,5.000000,0.000000,0.000000
0.020000,0.669667,0.000000,0.729667,2.700000,5.000000,0.000000,0.000000
0.020000,0.724667,0.000000,0.784667,2.800000,5.000000,-0.000000,0.000000
0.020000,0.781667,0.000000,0.841667,2.900000,5.000000,0.000000,0.000000
0.020000,0.840667,0.000000,0.900667,3.000000,5.000000,0.000000,0.000000
0.020000,0.901667,0.000000,0.961667,3.100000,5.000000,0.000000,0.000000
0.020000,0.964667,0.000000,1.024667,3.200000,5.000000,0.000000,0.000000
0.020000,1.029667,0.000000,1.089667,3.300000,5.000000,0.000000,0.000000
0.020000,1.096667,0.000000,1.156667,3.400000,5.000000,0.000000,0.000000
0.020000,1.165667,0.000000,1.225667,3.500000,5.000000,0.000000,0.000000
0.020000,1.236667,0.000000,1.296667,3.600000,5.000000,0.000000,0.000000
0.020000,1.309667,0.000000,1.369667,3.700000,5.000000,0.000000,0.000000
